TYPE,SKU,DESCRIPTION,REVENUE,COMMISSION
EBU SIMO AIRTIME,116764,36m Promo10 25GB Red Silver,0.0,0.0
EBU SIMO AIRTIME,116767N,36m Promo (low tier)7 25GB Red Silver,0.0,0.0
EBU SIMO AIRTIME,116767,36m Promo (low tier)7 25GB Red Silver,0.0,0.0
EBU SIMO AIRTIME,116769N,36m Standard2 40GB Retention Plans Silver,0.0,0.0
EBU SIMO AIRTIME,116769,36m Standard2 40GB Retention Plans Silver,0.0,0.0
EBU SIMO AIRTIME,116771N,36m Promo15 50GB Red Silver,0.0,0.0
EBU SIMO AIRTIME,116771,36m Promo15 50GB Red Silver,0.0,0.0
EBU SIMO AIRTIME,116776N,36m Standard1 100GB Red Silver,0.0,0.0
EBU SIMO AIRTIME,116776,36m Standard1 100GB Red Silver,0.0,0.0
EBU SIMO AIRTIME,116778N,36m Promo (low tier)7 100GB Red Silver,0.0,0.0
EBU SIMO AIRTIME,116778,36m Promo (low tier)7 100GB Red Silver,0.0,0.0
EBU SIMO AIRTIME,116780N,36m Promo10 100GB Red Silver,0.0,0.0
EBU SIMO AIRTIME,116780,36m Promo10 100GB Red Silver,0.0,0.0
EBU SIMO AIRTIME,116782N,36m Standard2 120GB Retention Plans Silver,0.0,0.0
EBU SIMO AIRTIME,116782,36m Standard2 120GB Retention Plans Silver,0.0,0.0
EBU SIMO AIRTIME,116792N,36m Promo15 250GB Red Silver,0.0,0.0
EBU SIMO AIRTIME,116792,36m Promo15 250GB Red Silver,0.0,0.0
EBU SIMO AIRTIME,116793N,36m Promo17 250GB Red Silver,0.0,0.0
EBU SIMO AIRTIME,116793,36m Promo17 250GB Red Silver,0.0,0.0
EBU SIMO AIRTIME,116798N,36m Standard1 Unlimited Silver,0.0,0.0
EBU SIMO AIRTIME,116798,36m Standard1 Unlimited Silver,0.0,0.0
EBU SIMO AIRTIME,116804N,36m Standard1 Unlimited Max Silver,0.0,0.0
EBU SIMO AIRTIME,116804,36m Standard1 Unlimited Max Silver,0.0,0.0
EBU SIMO AIRTIME,116805N,36m Promo14 Unlimited Max Silver,0.0,0.0
EBU SIMO AIRTIME,116805,36m Promo14 Unlimited Max Silver,0.0,0.0
EBU SIMO AIRTIME,116806N,36m Promo17 Unlimited Max Silver,0.0,0.0
EBU SIMO AIRTIME,116806,36m Promo17 Unlimited Max Silver,0.0,0.0
EBU SIMO AIRTIME,116807N,36m Promo (low tier)7 Unlimited Max Silver,0.0,0.0
EBU SIMO AIRTIME,116807,36m Promo (low tier)7 Unlimited Max Silver,0.0,0.0
EBU SIMO AIRTIME,116822N,36m Promo (High tier)5 10GB Retention Plans Gold,0.0,0.0
EBU SIMO AIRTIME,116822,36m Promo (High tier)5 10GB Retention Plans Gold,0.0,0.0
EBU SIMO AIRTIME,116824N,36m Standard1 25GB Red Gold,0.0,0.0
EBU SIMO AIRTIME,116824,36m Standard1 25GB Red Gold,0.0,0.0
EBU SIMO AIRTIME,116825N,36m Promo10 25GB Red Gold,0.0,0.0
EBU SIMO AIRTIME,116825,36m Promo10 25GB Red Gold,0.0,0.0
EBU SIMO AIRTIME,116826N,36m Promo12 25GB Red Gold,0.0,0.0
EBU SIMO AIRTIME,116826,36m Promo12 25GB Red Gold,0.0,0.0
EBU SIMO AIRTIME,116828N,36m Promo (low tier)7 25GB Red Gold,0.0,0.0
EBU SIMO AIRTIME,116828,36m Promo (low tier)7 25GB Red Gold,0.0,0.0
EBU SIMO AIRTIME,116830N,36m Standard2 40GB Retention Plans Gold,0.0,0.0
EBU SIMO AIRTIME,116830,36m Standard2 40GB Retention Plans Gold,0.0,0.0
EBU SIMO AIRTIME,116832N,36m Promo15 50GB Red Gold,0.0,0.0
EBU SIMO AIRTIME,116832,36m Promo15 50GB Red Gold,0.0,0.0
EBU SIMO AIRTIME,116837N,36m Standard1 100GB Red Gold,0.0,0.0
EBU SIMO AIRTIME,116837,36m Standard1 100GB Red Gold,0.0,0.0
EBU SIMO AIRTIME,116843N,36m Standard2 120GB Retention Plans Gold,0.0,0.0
EBU SIMO AIRTIME,116843,36m Standard2 120GB Retention Plans Gold,0.0,0.0
EBU SIMO AIRTIME,116846N,36m Promo10 150GB Red Gold,0.0,0.0
EBU SIMO AIRTIME,116846,36m Promo10 150GB Red Gold,0.0,0.0
EBU SIMO AIRTIME,116847N,36m Promo13 150GB Red Gold,0.0,0.0
EBU SIMO AIRTIME,116847,36m Promo13 150GB Red Gold,0.0,0.0
EBU SIMO AIRTIME,116848N,36m Promo (mid tier)6 150GB Red Gold,0.0,0.0
EBU SIMO AIRTIME,116848,36m Promo (mid tier)6 150GB Red Gold,0.0,0.0
EBU SIMO AIRTIME,116849N,36m Promo (low tier)7 150GB Red Gold,0.0,0.0
EBU SIMO AIRTIME,116849,36m Promo (low tier)7 150GB Red Gold,0.0,0.0
EBU SIMO AIRTIME,116853N,36m Promo14 250GB Red Gold,0.0,0.0
EBU SIMO AIRTIME,116853,36m Promo14 250GB Red Gold,0.0,0.0
EBU SIMO AIRTIME,116854N,36m Promo17 250GB Red Gold,0.0,0.0
EBU SIMO AIRTIME,116854,36m Promo17 250GB Red Gold,0.0,0.0
EBU SIMO AIRTIME,116859N,36m Standard1 Unlimited Gold,0.0,0.0
EBU SIMO AIRTIME,116859,36m Standard1 Unlimited Gold,0.0,0.0
EBU SIMO AIRTIME,116865N,36m Standard1 Unlimited Max Gold,0.0,0.0
EBU SIMO AIRTIME,116865,36m Standard1 Unlimited Max Gold,0.0,0.0
EBU SIMO AIRTIME,116866N,36m Promo14 Unlimited Max Gold,0.0,0.0
EBU SIMO AIRTIME,116866,36m Promo14 Unlimited Max Gold,0.0,0.0
EBU SIMO AIRTIME,116867N,36m Promo12 Unlimited Max Gold,0.0,0.0
EBU SIMO AIRTIME,116867,36m Promo12 Unlimited Max Gold,0.0,0.0
