TYPE,SKU,DESCRIPTION,REVENUE,COMMISSION
EBU MBB,116632N,36m Band 2 Tablet Laptop Business Plan 2GB,86.09,4.3045
EBU MBB,116632,36m Band 2 Tablet Laptop Business Plan 2GB,43.045,2.15225
EBU MBB,116633N,36m Band 2 Tablet Laptop Business Plan 6GB,103.59,5.179500000000001
EBU MBB,116633,36m Band 2 Tablet Laptop Business Plan 6GB,51.795,2.5897500000000004
EBU MBB,116634N,36m Band 2 Tablet Laptop Business Plan 25GB,121.09,6.054500000000001
EBU MBB,116634,36m Band 2 Tablet Laptop Business Plan 25GB,60.545,3.0272500000000004
EBU MBB,116635N,36m Band 2 Tablet Laptop Business Plan Unlimited Max,136.72,6.836
EBU MBB,116635,36m Band 2 Tablet Laptop Business Plan Unlimited Max,88.86800000000001,4.4434000000000005
EBU MBB,116636N,36m Band 3 Tablet Laptop Business Plan 2GB,112.02,5.601
EBU MBB,116636,36m Band 3 Tablet Laptop Business Plan 2GB,56.01,2.8005
EBU MBB,116637N,36m Band 3 Tablet Laptop Business Plan 6GB,129.52,6.476000000000001
EBU MBB,116637,36m Band 3 Tablet Laptop Business Plan 6GB,64.76,3.2380000000000004
EBU MBB,116638N,36m Band 3 Tablet Laptop Business Plan 25GB,147.02,7.351000000000001
EBU MBB,116638,36m Band 3 Tablet Laptop Business Plan 25GB,73.51,3.6755000000000004
EBU MBB,116639N,36m Band 3 Tablet Laptop Business Plan Unlimited Max,164.94,8.247
EBU MBB,116639,36m Band 3 Tablet Laptop Business Plan Unlimited Max,107.211,5.36055
EBU MBB,116640N,36m Band 4 Tablet Laptop Business Plan 2GB,80.0,4.0
EBU MBB,116640,36m Band 4 Tablet Laptop Business Plan 2GB,40.0,2.0
EBU MBB,116641N,36m Band 4 Tablet Laptop Business Plan 6GB,97.5,4.875
EBU MBB,116641,36m Band 4 Tablet Laptop Business Plan 6GB,48.75,2.4375
EBU MBB,116642N,36m Band 4 Tablet Laptop Business Plan 25GB,115.0,5.75
EBU MBB,116642,36m Band 4 Tablet Laptop Business Plan 25GB,57.5,2.875
EBU MBB,116643N,36m Band 4 Tablet Laptop Business Plan Unlimited Max,134.79,6.7395
EBU MBB,116643,36m Band 4 Tablet Laptop Business Plan Unlimited Max,87.6135,4.380675
EBU MBB,116644N,36m Band 5 Tablet Laptop Business Plan 2GB,88.16,4.408
EBU MBB,116644,36m Band 5 Tablet Laptop Business Plan 2GB,44.08,2.204
EBU MBB,116645N,36m Band 5 Tablet Laptop Business Plan 6GB,103.16,5.158
EBU MBB,116645,36m Band 5 Tablet Laptop Business Plan 6GB,51.58,2.579
EBU MBB,116646N,36m Band 5 Tablet Laptop Business Plan 25GB,120.66,6.033
EBU MBB,116646,36m Band 5 Tablet Laptop Business Plan 25GB,60.33,3.0165
EBU MBB,116647N,36m Band 5 Tablet Laptop Business Plan Unlimited Max,144.62,7.231000000000001
EBU MBB,116647,36m Band 5 Tablet Laptop Business Plan Unlimited Max,94.003,4.70015
EBU MBB,116648N,36m Band 5A Tablet Laptop Business Plan 2GB,91.53,4.5765
EBU MBB,116648,36m Band 5A Tablet Laptop Business Plan 2GB,45.765,2.28825
EBU MBB,116649N,36m Band 5A Tablet Laptop Business Plan 6GB,115.53,5.7765
EBU MBB,116649,36m Band 5A Tablet Laptop Business Plan 6GB,57.765,2.88825
EBU MBB,116650N,36m Band 5A Tablet Laptop Business Plan 25GB,122.41,6.1205
